title,url,material,colors,dimensions,artist
Bloemstudie,https://lh3.googleusercontent.com/p7a_H913jJBZbbEyum40Sw2a2LLtJ9Kw7rVODHmgScOoD8z1ARiv3EA5RTtOEhtJ6pp7D6A_Rb-hhLiMRXpihrW_Ki4=s0,karton,[],350 x 260,Charles Aubry
Boerderij aan een pad en vergezicht over velden,https://lh5.ggpht.com/90Yc3CxGNrnxvzvkPePKHqMixyOdTs-sRdQ0fb9dhygQKMmvkCX8nNcPVuKoyqFDwZaUISpTX9Zzo_x4M2vly9i-xJY=s0,papier,"[{'percentage': 61, 'hex': '#E0CC91'}, {'percentage': 20, 'hex': ' #FBF6E1'}, {'percentage': 14, 'hex': ' #737C84'}, {'percentage': 2, 'hex': ' #2F4F4F'}]",112 x 175,Esaias van de Velde
Houthakker is bezig een boom om te hakken,https://lh3.googleusercontent.com/7GbW5E71hJCAAMkE9jxQdoSU2w3t-19YDabybDv-S9PcQos1N0lnoAsGKZTdt4DQTt9NGM7G4LU5i_vMn8TaO1yD9ws4=s0,papier,[],80 x 87,Jan Luyken
Heilige Familie met engelen,,papier,[],394 x 285,John Smith (prentmaker/ uitgever)
Bombardement van Antwerpen,https://lh3.googleusercontent.com/NsQ5bu8ru8CWZGh_RAu0fQ6n7FjDIoArFR3d6JgPpXtrzpXUzACZ7i1nD-ieuFxUsBAk1i1AYoe0C86Gi6CK_WgF_AtOs-_VJNnn0d8=s0,brons,[],"4,6 x 45,53",David van der Kellen (1804-1879)
Annunciatie,https://lh4.ggpht.com/kb3u4gMyN8jOat3cbUE2LiQASU2ucv2o9QtrkCj1eeYJBw3FbIiBjLyETXBlro-aYaPEv0L32Kk-eZr7f5Fn9xUjfA=s0,papier,[],470 x 513,Nicolas Pitau (I)
Trouwjurk met gekartelde stroken,https://lh6.ggpht.com/HhTojnohdeOJAncxpx0puu3nZKEv_3hCEHZXzsUmGQQ1ge0dJ5hxVbTCJCxhrN0VkJt8wMuwApC9-H32oJ2fd4Z326Y=s0,zijde,[],470 x 513,Espérance Pos
"Kathedraal van Sint-Michiel en Sint-Goedele, Brussel",,papier,[],166 x 107,anoniem
Portret van Samuel Garth,https://lh3.ggpht.com/mry1aLu5pf_z0NfbIuYP88g1PTrPq5WnlBNw3Eyoj8VECg_onmfHlg4Lid5jIZwCsqOc0bYWk0lXlBhRbHK_PikMTIrb=s0,papier,"[{'percentage': 52, 'hex': '#FBF6E1'}, {'percentage': 34, 'hex': ' #737C84'}, {'percentage': 9, 'hex': ' #B5BFCC'}, {'percentage': 2, 'hex': ' #000000'}]",356 x 223,Jacob Houbraken
"Geloofweêrdige en by een vergaederde beschryving / Der merkweêrdige voórvallen, weldaeden en heylige verrigtingen van zyne doórlugtige hoogheyd den vorst / Alexander van Hohenlohe, / Domheer van Olmutz, vicaris van het bisdom Bamberg, en ridder van de Maltheser order",https://lh3.ggpht.com/OkfWtO_NgX_OmORJNUA2KGMmhGzBnSYiNPCYH0kI2BnTeVbxDAwe3gyiRKwnQzFTXDXlZORug62_dx4kxY4EIcit4g=s0,papier,[],387 x 331,Philippus Jacobus Brepols
Kanaal van Gent naar Brugge,https://lh3.googleusercontent.com/1HNWT1RZtq5_KAfy1w9Jvc6OCAQb_ud-yeOlj9UEYSoYl4L02YRLdI5GuV-_DXU3O_c2CkqDpv7lm7gUEsi5Kv4kiOtAgusWKPqCd4UG=s0,papier,[],126 x 191,anoniem
Het gestolen meisje,https://lh3.ggpht.com/JD-qe94XDzJMUlef86297kcSR80SV2yvLZT-Ar4Xq16rfY_nlPZ-_g6y90bG_x2Nry91BSAtP-DYrV9E2qvtMQJt9u8=s0,papier,[],399 x 268,Gordinne
Cymbalen en twee fluiten,https://lh3.googleusercontent.com/L47OI3q0N9WvIh0GgDWPiT7zOTMFao2e-0e2SbZCY3UhrvrYYXZGzV7ASHcI6EiQEQJKPsMPlKSBAzIdQgSvJ3nRJ_9d=s0,papier,[],253 x 208,Pierre Félix van Doren
"Ruit met twee wapens met onderschrift waaronder ""Kunt U Zelven Douwe Janssoon Arents ... 1632""",https://lh3.googleusercontent.com/MkS6BB7YjzqAaRr_CT0jLXp06-UbjEySDkn0OZgsdOOnCRzw3-KtKQu__btBLZLXg0HgHZwX9jxmi_qnNYdR8BJo7-jHpZNz9kZz7PJF=s0,glas,[],"75,2 x 43,6",anoniem
December,https://lh3.googleusercontent.com/rWIqeaE4vAGFen-Bm9O3H_oyDYC_w149IabYh3L7_awq8K6dTNZ820N0XLfhdxe0FgUoohD4EhnWzNB0gQm4bWHjYt0=s0,papier,[],87 x 117,Julie de Graag
Portret van Johann Georg Behl,,papier,[],230 x 178,Johann Bensheimer
Landschap met visioen van de H. Franciscus van Assisi,https://lh5.ggpht.com/GsHN0YzYuaho3N1EmqXtoV1VI70jQVDLHohLeUtQCXLCm6ZN-XQWYVqf734wUxRpobjt5zSxUWLENrjILGWEHJlTNek=s0,papier,[],520 x 377,Cornelis Cort
Geweigerde brief,https://lh6.ggpht.com/zavhk5NjUWkjnsGQ5w8EBgP9nTcLP6eDOX3MN-4_HMXY7F8O__hqRnnFAZz5m97WhvGxnREYhRYweIZfJUEqidsIO6g2=s0,papier,[],391 x 307,Wallerant Vaillant
Portret van Auguste Rodin,https://lh3.googleusercontent.com/-t3VnZNi_fvsSy5e_VsCvTo4pVJNQVVWgjYBpniFJMjWzxq4beTZMUw1axbmUHHF7SH2-RJnk6snUobKSLqhXiV0NzQ7TpMImJ3B-qFJ=s0,papier,[],191 x 143,Edward Steichen
Portret van Jean de Mayer,https://lh3.googleusercontent.com/Q2xPv4KmbEpxe4lY2BGfyNl28K8UBHWKKYmo7KC9uX5u70KacvYLpTXnkC9cGA8hOzM8qMre2F7e7z0qMbg4ixrlAIjaBOYqReqtcl4=s0,papier,[],173 x 109,Carl Hermann Pfeiffer
Een man haalt een emmer water voor zijn paard,https://lh3.googleusercontent.com/R6smtDEAoJYUZdvsB0ut-mycVGrYoCup1dpPz5_WEEcETse1ls425_U7lSMC1Kcli89DGPxdt7uH25vKCVYMWqWG7Q=s0,papier,"[{'percentage': 62, 'hex': '#FBF6E1'}, {'percentage': 19, 'hex': ' #737C84'}, {'percentage': 16, 'hex': ' #2F4F4F'}, {'percentage': 0, 'hex': ' #F6ECF3'}]",190 x 144,Joannes Bemme
"Kinderkopje, naar links",https://lh3.googleusercontent.com/FZyiUqaDBoGxOltC5W6NBF2quqYUixri4kEyN8pTOK3BZcEqYt5zzt4IpoCJIcoLpKQUg341VhorSEtp6WZgJ1Z_vUR9=s0,papier,[],144 x 86,Jan Veth
Aangemeerde zeilboot bij een steiger,https://lh3.googleusercontent.com/V5D7H5HlIXOFBsND-pk1OGmBRhmei_wIBPVIihApWwmbinWoxBXDRfmm-sVhnwJJ6OgFQZuuFf8IZ5MKru89SDKncQ=s0,papier,[],144 x 86,Cornelis Vreedenburgh
Portret van een matroos,,fotodrager,[],84 x 52,S. Ciantar Preziosi
Twee mannen maken een vrouw het hof in een tuin,,papier,[],332 x 254,James Dobie
Gezicht op de kloostergang aan de binnenplaats van het klooster van Monreale,https://lh3.googleusercontent.com/7DXfPaI2ioClvDngll9iKOAvtWnGRR7XnehwPcCpwsnn1FOylMa1AIxcjFkD-ztXdgWoeLHAC1KuTytb0L2jvrFLhDc=s0,karton,[],88 x 176,Jean Andrieu
Keteltrom,https://lh3.googleusercontent.com/nXn8W0xHjnsYHs3sYMTRSxNGW0Ea_IdlwDFxqNPC1pZeAyl0ny10yY8nIRqvfUP3IhtypjmzHm57t-5ma-PZoHC7Qr2UKkbYQe7jEOmiWw=s0,ijzer,[],"39,5 x 62",anoniem
Stadsgezicht met Domkerk te Utrecht en allegorie met Minerva en deugden,https://lh3.googleusercontent.com/zRxDf1Qifs479U636WenSP-3-NIZ73gex2GnKal5bH1HcykUghXtP0RioVQrUQg80ihBQsFJZ3bWGR-lxAobQaRBQw=s0,papier,[],224 x 165,François van Bleyswijck
Mitsuke,https://lh5.ggpht.com/o2eNG1DOLZYeZFwjy0ND44wGqiiPwdQ_gmfIrXT6FlCy2yXyAyrr8uRX1dGQ73hnmAzGy6p8qxwxi3kKOjMXTW6FNjs=s0,karton,[],90 x 141,"Hiroshige (I) , Utagawa"
Rol met lichtblauw lint met één gerafelde zijde en drie zwarte horizontale strepen,https://lh3.googleusercontent.com/QRRz32yUNjYD7kgxlXmRjo-JIWKPdHTiwqRLEIQqDoeVlL8GWmTV54EuD2nHfKkAflWLLpdXjrB1smdQ9J8Fr0sR3ftTxHNvOqIPg_Eo=s0,textiel,[],"1,5 x 9,5",Gustav Schnitzler
Oude man met gevouwen handen,https://lh3.ggpht.com/bZedfjkMSevX6JkscIQXw23puoNLwDWAeSrwm76FYIbnrJXVGzCzfcwHe5AjzWAcDQgHBMO2QR5RJJYgK9UkZgMmsA4x=s0,papier,"[{'percentage': 63, 'hex': '#FBF6E1'}, {'percentage': 20, 'hex': ' #737C84'}, {'percentage': 13, 'hex': ' #E0CC91'}, {'percentage': 3, 'hex': ' #2F4F4F'}]",87 x 53,Rembrandt van Rijn
Vuurbok met vaas,https://lh3.googleusercontent.com/1Cmcmz1th0c0GSPiq5Fx0F8WYeNTcDyfQzljmdu1hCKZg-FfHhgevkUlgvhwdhDv_IRMhNp9V5t_BGayvp6P8cjnxDo=s0,papier,[],315 x 198,anoniem
Portret van Johannes Bolland,,papier,[],107 x 145,Georg Wolfgang Knorr
Portret van Maria Magdalena,https://lh3.googleusercontent.com/XEKklMBJTRCQ4OwC4G5c056370XA97HeexUnInsKZIgc5iM3A5n2AoM9g0o4NlayVyOUnjD5rXoizyeHNt_OTGIxs1B3Y1iR6-0FukU=s0,papier,[],75 x 50,Frédérique Émile Auguste O'Connell-Miethe
Plattegronden en voorgevels van drie villa's,https://lh3.googleusercontent.com/Qz_nLE6VPufKHK5ESKmCuwrukEeAFM6hOccvOHWV14MonU7xOw0-LotY00njJNdgJOI7O6qPrCK2GaEN8IIdwp2H-Jw=s0,papier,[],75 x 50,Willem Springer jr.
Landschap met paard uit Calabrië,https://lh3.ggpht.com/IphYmVaOmvZlT45TQhcLWi7YZBK-CVy3tg_88GEC9vyoKdJN8iYweesO9XOdkZU2JR0Y0E3saLG-oDpE4KVDGIAFQZE=s0,papier,[],137 x 164,Egbert van Panderen
Portret van een zittend meisje,https://lh3.googleusercontent.com/-ypzgNu73JVBPALJ8ae5FwpigRx1_dN3PxeTIk5O4LrxzPDVzrGblGFE2ePzfbeAUKlVT14b8ltrlg6ENidTEPS6vqC2Ew9ZycrY2P7v2A=s0,karton,[],84 x 51,anoniem
Gezicht op de Catharijnepoort te Utrecht,https://lh6.ggpht.com/QrUdlF34KPhx84HYlY25b6FaqDdr5-Vd2gixNS8EKZ7etwa2lgkTjkF_eLsXO_zRIbh5OVgstYJpPWiTLtfRmAQehXU=s0,papier,"[{'percentage': 66, 'hex': '#FBF6E1'}, {'percentage': 16, 'hex': ' #737C84'}, {'percentage': 11, 'hex': ' #E0CC91'}, {'percentage': 6, 'hex': ' #2F4F4F'}]",88 x 88,Anthonij van der Haer
Twee boeren met een kruik,https://lh5.ggpht.com/FEbVakhIQFz1KJWp-QVv5OZir7shvNltnq0gTD01nNb2TgCzk2uFe17tob_zD7RL9TRZVuxZCilzNYrIIB_tXA8Z=s0,papier,[],137 x 125,Jabes Heenck
Rijtuig te midden van een menigte tegengehouden,https://lh3.googleusercontent.com/pjcoj0ipUUrwIZzVbehLdZfaqDfcmmmrB51JYGVaiAB_zoYAqLwdUp4-RZO91dkfuUs-jaquye3h99xs4WMJjYNLQyhdRt9uUbPZemvDXw=s0,papier,[],167 x 108,anoniem
Staande soldaat met geweer,https://lh4.ggpht.com/Xjh7yWelzZIRB0wJQXNfOWLMpZOaxdhiPvmZu2NbBjC8QIiFDa3SXR4ITDOf7m8QT_63Bh4NKKt-FdAJWdVY_kx6Zw=s0,papier,"[{'percentage': 91, 'hex': '#FBF6E1'}, {'percentage': 4, 'hex': ' #737C84'}, {'percentage': 3, 'hex': ' #E0CC91'}, {'percentage': 1, 'hex': ' #2F4F4F'}]",120 x 80,Anthonie van den Bos
Bouw van het midddenstuk van een brug op de oostelijke oever van de Kali Brantas ten zuiden van Malang (Photo XV),https://lh3.googleusercontent.com/p4xawVCzaTy9-kr-hti3sPfBBgZC0UIGjHbAMVYx6BDZ1TH4VvLZCNMIhCJWsOsHgEv8a1L6Ti4SKaPIDRmhThSWnes=s0,karton,[],214 x 269,anoniem
Wapentuig,https://lh3.googleusercontent.com/WJQIydjvYWaMlzEjzO7iXNQNs6Wj_TZ1dH-_5yY6qXYtqYk6xf-6wnUTefGEdvsrTAw6BnByYSlxZeXCPHwsNJo9zw=s0,papier,[],52 x 44,Isaac Weissenbruch
"Reliëf met een ooievaar, putto en baby's door O. Meyer",https://lh3.googleusercontent.com/VuTQQqFWGC2LOmIYXUNN9oy538BLtB9mWvSaE4FXwXwwjsMqi_u1xq69RDhb5hkh_vcUmDoeYpFfqHLg7K5BcARDfT8d87gu9mj4VeyR=s0,karton,[],107 x 67,FAGG
Plattegrond van Zierikzee,https://lh6.ggpht.com/RjarvfaX0BOf8X5g1qSI17zV7k2ncJIBH6PbYsFAlUsnR0KAwB5nl3AO3GdRkRDDtdBmgJ5TNBdAMnX1Vcdu8xaOmnA=s0,papier,"[{'percentage': 55, 'hex': '#FBF6E1'}, {'percentage': 27, 'hex': ' #737C84'}, {'percentage': 16, 'hex': ' #E0CC91'}]",279 x 414,Jan Luyken
"Studie, mogelijk van een mannenhoofd",https://lh3.googleusercontent.com/23HV2bpcMko2Q7LXrg4b8zKvdxnGqhZ669dBr3X8injYugoDmr8tdNfFxYfkEFZYbvMGIpHUnTB-nv7kfUS2qMlANdNX=s0,papier,[],279 x 414,George Hendrik Breitner
Gezicht op Beursgebouw te Rotterdam,https://lh3.googleusercontent.com/4Uq7T-jRPYpWZaBMTpworczt2c7U2HHRTgvkm7lqFXVMoOPxn28O8VPwfYruGUX31vLuC8K-HFy9JUU6N-taaQikwewnJvk1lS7Hs0A=s0,papier,[],272 x 355,Adolf Carel Nunnink
Keizer Vespasianus te paard,https://lh3.googleusercontent.com/RPFRSAE9SQ6v1iMa-Y-XTwTxZpz9pr_3Du9rSOlmQNtWLNqRNGaVyV8DApX-cOpZpSlrRrppoyBhBBKDN7LXuDThVQ=s0,papier,[],302 x 226,Antonio Tempesta
Beplakte winkelruiten,https://lh5.ggpht.com/Ry5zsbcAAG_VrMmR6srSMXCACC9m0Vb7xVdrTDAuLLBZGeDajgmESRT2LsrZcrH0AA1lc7tV5lYV4kSvCHvPCPJlgw=s0,fotodrager,[],302 x 226,Polygoon
Fransen worden verdreven uit het koninkrijk Napels,https://lh3.googleusercontent.com/8U_y5GQvFfOwkYu5eOk0xT7uxa-StQTyj5OllkXJYB7DO8W8s-AA9jL0691diXggKYz1B5Yv0jFF1dP-YEDRofZ5r1tFxVzaYPkpPiWA=s0,papier,[],174 x 148,anoniem
Schandhuik uit 1688,https://lh6.ggpht.com/uIUWgkg9ilr5UKGyX_LSxbq6j6kamWzwBUxrdzehlmtGB12y1vET0GCYBn6KqOttssHZqNfJ3bIUqq3X0zj6G4zrzQ=s0,papier,[],217 x 154,anoniem
Koeien in een weiland,https://lh3.googleusercontent.com/U22UYiGrR-mQ-gwn474mk5GQHQ3ypsZB5XWWUtDXCT5ys7vy2_FpgjTLZ-_HUs_RSWZd8CStYoMNy0GSq8sKZcVrdjA=s0,papier,[],217 x 154,Anton Mauve
"Gezicht op een waterweg, met op de achtergrond een kerktoren",https://lh3.googleusercontent.com/xRZCV_tBdF7NajsjdahCYmBsBkImZcdSE68QSXCmznUyDaI9gLD_AnJnUF6wo8HTW0X-iAdgVzzXXBJNUHHy03suSTI=s0,papier,[],113 x 147,George Edward Hackford
Militair op paard in draf,,papier,[],297 x 434,Carle Vernet
Schilderijlijst,,papier,[],"94,5 x 136,5",anoniem
Groepsportret van de politiebrandweer en de veldpolitie in Lampong,https://lh3.googleusercontent.com/IP-U4Ov_uwLFjk9b0DzJ1TQADPl48whEoHLJMLxbZAxc68PKjqCH22deLFiei-wUCrNg7K-AirmgRd23llYV-xXSUa1T=s0,fotodrager,[],120 x 173,anoniem
Landweg bij Bondoufle,,papier,[],245 x 318,Jean Louis Tirpenne
Roodbruine baksteen uit V.O.C.-schip de 'Witte Leeuw',https://lh3.googleusercontent.com/W3uh_Pb1UiZjr4YadpNu18PHe7UOPlbujiSx8OJs1whElWenF9HIrQAJ8pqpAuOMilX6Wwn0rGHy9ZwiGYf0E3gl-eNsf4jOykRr__k=s0,baksteen,[],"3,5 x 17,8",anoniem
"Beeld van een van de twee koningszonen in de Tempel Mendoet ten zuiden van Magelang, Nederlands-Indië",https://lh4.ggpht.com/x27kXbXqrygXOuxIqpluDfQPZKkbJcj0Xlp0bKB3HR-yD9r5oZP3eil80sJtshXXPblYuJWpmdEnPy8eruIss4NrLq4=s0,fotodrager,[],236 x 177,Onnes Kurkdjian
Trouwen dienst bij de landmacht,,brons,[],"1,1 x 0,9",anoniem
Gezicht op het paleis van Versailles,https://lh5.ggpht.com/u49qmp4TxeYtt1us45SM9tXo3QfqUFTPxQ7QPrIRBj51z2YXomhJGd61QYjW2znZN-xKUYxonOhOh0jTDdc1o1dHBB0=s0,papier,[],177 x 294,Jan Caspar Philips
Fragment pijpenkop uit het wrak van de Oost-Indiëvaarder Hollandia,https://lh3.googleusercontent.com/wImL9Piowf5BvAVP4LXsEXNFRa9Frk8WVa9wb5p3Szl-y5rXl8MzqjWtF6_9uYQfa1GyZ92KwE40swb3mXSa4sBazbai9YkvplJG8oQ7=s0,pijpaarde,[],"4,9 x 2,1",anoniem
Manchet van haakwerk met waaiermotief,https://lh3.googleusercontent.com/VkyElWcWqHHLQZ-ZQe61zUQzMaQQkgR82jDnVNUsFvLOzG6rE-7VYCiHCpQNEuHXR_pjJWiR7CCAArARNhemvqUfkpo=s0,katoen,[],"22 x 6,5",anoniem
Offer van Abraham,https://lh3.googleusercontent.com/61nGgencdMtqG7ijMzU-cEZeWRAyIzsJqFg_RooDG4-8_NOewEXeCXovemHtrY0GnZcrpVFEJTxcxLPDoWxh_ctDWls=s0,papier,[],256 x 200,Johannes Wierix
Portret van Gotthold Ephraim Lessing,https://lh3.googleusercontent.com/9C7LmYeLzvLaaJH4nQNobkqv-egiiOz0jW2OCWIPp1ln6CXd3e7fv3mzuVz8ikcqPBHFUiIJCHDjdH38GbcdtWN4dkUsRLYvNVuh9io=s0,papier,[],66 x 79,Ernst Ludwig Riepenhausen
Gezicht op het Alhambra vanaf de Iglesia de San Nicolás,https://lh3.googleusercontent.com/OZ-aTLDNVj9o7Aep6jWceCjFFzc0To_pglAqU0oAX_sJm8s__ckcprBdLEm3awI5IUdbmbUC65SJIldO3s6y7hEP8Q=s0,papier,[],154 x 211,anoniem
Kaart van de heerlijkheid Heenvliet,https://lh3.googleusercontent.com/comSJeBdZlv0hF7ggSCD9HBGCKRMYsGA2uyoK_nf6iOU1iUhYC0Vt_w3XsV7psdt-sNbBpIKq3wEN3ynyZ6HdqDTfgo=s0,papier,[],515 x 878,Jan Stemmers
Twee jonge vrouwen bij het lichaam van Don Juan,https://lh3.googleusercontent.com/66RM0PhTBqZYbp-BXZxrSv8l-Y_BdfGoyGaqrWCMblVomrtBb-9V6Ja98urCUwC44ROrRRmRzKkKwmJSnhXUMzyUnDaphfbv91bb3sNn=s0,papier,[],215 x 278,Theodoor Schaepkens
Drie vazen,https://lh3.googleusercontent.com/_HBW_E7cBx3YtCcURToT5pDKvGvicD6np7dpARmGnNeEBKc0lwqCDBJSUt512cFk79j54Phrs_E5Ac172XMI-oBVqD4=s0,papier,[],70 x 182,anoniem
"Portret van de actrice Anna Maria Kamphuyzen-Snoek, als Rosamunda van Corfu",https://lh5.ggpht.com/FBcz6pqndsrWNr7pbe51_sR-2xZ7_kF-CNmaF5gwGG0I4SYN_L4kPKe9T9F_epMcMT1K2igd_dRKu-30ZNK4xsk6xdQ=s0,papier,"[{'percentage': 47, 'hex': '#FBF6E1'}, {'percentage': 45, 'hex': ' #737C84'}, {'percentage': 6, 'hex': ' #B5BFCC'}]",565 x 433,Jan Willem Caspari
Haven van Alexandrië met voor de kust roeiboten,https://lh6.ggpht.com/_VM_qouEGK_q-p51Al-O9aFFFqJsHuynjPloE2pMLne-BjaRjqGn-AhVxn8qgV2iyrByVBSUtxOypbQKBFaW_REltg=s0,papier,[],212 x 27,anoniem
Portret van Henri La Tour d'Auvergne,https://lh3.googleusercontent.com/jUTQQiIQZWZ8ISQ2Z2KsG7BQllidM934STsNUYQwmTiykyn6Kb34lYUM3Is6R_Wr3o-AUBgATjoOPm_GZ3ypwcGWNHUIlZMOzZeNEBYC=s0,papier,[],205 x 145,August Weger
Ponte di Rialto te Venetië,https://lh3.googleusercontent.com/n5X_4GN213OZ7lSsRxHZgg8qjXC-Ij_eei11qvs-7T88d3acLJA2prSDeolydtsz05aFNc4vBBSMJyDsFEhw3zDTp20=s0,papier,[],320 x 473,Michele Marieschi
Trap met de vier grenspalen,https://lh5.ggpht.com/EQWfqSJ1nc3Tka7SJL7ZOCkPknIqvr4Hm8b5XmiTGjWfQ6CwotyJfbKsYXmufmtUB-YU-Xl43G4sWwE0GCqjXl_Vf6z0=s0,papier,"[{'percentage': 88, 'hex': '#FBF6E1'}, {'percentage': 5, 'hex': ' #737C84'}, {'percentage': 3, 'hex': ' #E0CC91'}, {'percentage': 2, 'hex': ' #2F4F4F'}]",135 x 93,Hubert Robert
"Manoeuvres van de compagnieën, ca. 1799",,papier,[],325 x 415,Hendrik van der Poth
"Gezicht op de tuinen bij het Huis ter Nieuburch in Rijswijk, 1697",https://lh5.ggpht.com/FmYdIdkPQFmRxGPpY6YoTAs_ujP7PSlC1G46PI6Ou7O8aVdwBI70U2ppmd_H6t-6xyC9fqpIaChP0ym4DXtGVn8Kimk=s0,papier,"[{'percentage': 50, 'hex': '#FBF6E1'}, {'percentage': 46, 'hex': ' #737C84'}, {'percentage': 3, 'hex': ' #2F4F4F'}]",424 x 508,Jan van Vianen
Wandeling langs een bergweg,https://lh5.ggpht.com/q6VJ-N2ALakLWdu74Zg84xGvgEKdMareFM6CNH248ZPKLHej3kE_JkGzRRksUbPLQK3g5qRMgcWgPbmx_ZeHaBZFFw=s0,papier,"[{'percentage': 40, 'hex': '#FBF6E1'}, {'percentage': 24, 'hex': ' #000000'}, {'percentage': 19, 'hex': ' #737C84'}, {'percentage': 15, 'hex': ' #E0CC91'}]",80 x 157,Geldolph Adriaan Kessler
Menton gezien vanaf het strand,https://lh6.ggpht.com/ujxxJSSBEkXydm09yR3ZlENO8nnRhj8RA35xcES_yDKJBlNjnvChwwtmkat2362yqOpXFcPigMhF37xTsfk-UtasOg=s0,fotodrager,[],164 x 222,Henry Pauw van Wieldrecht
Deel van een triomfprocessie en een triomfboog,https://lh3.googleusercontent.com/ewO9Zj9X3biKrmQCivxlXhPiUPI5iw3e2jJC1yLFEQQ-d9pfEMR1lLmKT55VfkzAhiHfVuceqNQ-qU0eqPBmkvp3EAg=s0,papier,[],224 x 405,Pietro Sante Bartoli
Balustervormige bekervaas met vier verhalende voorstellingen in cartouches,https://lh3.googleusercontent.com/APWzOgSwuJhfSeMKPENQVi16ZWtkSeE8NFrD3D9doKxeyvlsZTbgxouOhmjwMg9HMTEEo8p_ojxsZhufvfSuoGYaYA=s0,porselein,[],"46,3 x 23,5",anoniem
Fotoreproductie van een portret van Jan van Werth,,fotodrager,[],77 x 57,anoniem
"Vaas of beker van melkglas met blauwe emailverf beschildering, imitatie Chinees porselein; model met breed uitlopende voet en monding en verdikking in het midden, gestreept.",,glas,[],"1,8 x 1,0",anoniem
Gezicht op Old Point te East Lamoine,https://lh3.googleusercontent.com/6xECIHlPO0BxMaPPoA3OfGFaREzclOlanhKw6Lf866-1DCkrCwoolBlzFi0J2raV6w8BV62tLCKEgkDQzAK_zL6gjeoSUj8LexGhX9w=s0,papier,[],102 x 178,anoniem
